Occupation,SOC code,Employment,Employment percent relative standard error,Hourly mean wage,Annual mean wage ,Wage percent relative standard error,Hourly 10th percentile wage,Hourly 25th percentile wage,Hourly median wage,Hourly 75th percentile wage,Hourly 90th percentile wage,Annual 10th percentile wage,Annual 25th percentile wage,Annual median wage,Annual 75th percentile wage,Annual 90th percentile wage,"Employment per 1,000 jobs",Location Quotien
Aerospace Engineers, 17-2011,210,22,79.06,164450,2.7,47.52,61.92,76.92,97.35,114.76,98840,128800,160000,202490,238710,0.089,0.2
Bioengineers and Biomedical Engineers,17-2031,620,14.1,66.8,138950,2.5,48.14,54.6,65.73,77.81,86.4,100130,113570,136720,161830,179710,0.259,1.83
Chemical Engineers,17-2041,370,17.2,,,,,,,,,,,,,,0.152,1.16
Civil Engineers,17-2051,9920,5.2,64.89,134970,1.4,41.33,48.46,60.85,77.79,95.68,85960,100790,126560,161790,199010,4.122,1.79
Computer Hardware Engineers,17-2061,5090,4.8,88.98,185080,1.6,63.44,70.93,83.14,102.04,,131950,147540,172920,212230,,2.117,4.31
Electrical Engineers,17-2071,2860,5.2,77.5,161200,1.5,46.85,60.73,78.77,92.16,103.7,97450,126320,163840,191700,215690,1.189,0.97
"Engineers, All Other",17-2199,5060,6.9,80.24,166900,2,46.02,55.76,75.07,102.58,,95710,115970,156140,213370,,2.102,2.15
Environmental Engineers,17-2081,580,15.1,68.46,142400,2.7,42.88,54.12,68.27,80.45,98.06,89180,112570,142000,167340,203960,0.24,0.98
"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",17-2111,570,15.1,62.51,130020,6.2,27.59,49.17,61.86,79.84,95.46,57380,102270,128670,166060,198560,0.236,1.57
Industrial Engineers,17-2112,4630,4.9,67.54,140470,1.3,41.27,52.41,64.32,79.25,97.53,85840,109020,133790,164840,202860,1.925,0.85
Marine Engineers and Naval Architects,17-2121,50,15.5,65.17,135550,7.9,34.96,58.41,71.47,71.47,80.45,72730,121490,148650,148650,167340,0.023,0.42
Materials Engineers,17-2131,420,12.8,66.57,138470,2.3,44.71,51,64.69,82.58,88.54,92990,106080,134560,171770,184150,0.176,1.19
Mechanical Engineers,17-2141,4670,7.7,72.55,150900,1.8,46.67,58.42,70.02,85.31,99.81,97070,121510,145640,177430,207610,1.94,1.04
"Mining and Geological Engineers, Including Mining Safety Engineers",17-2151,50,18.1,71.53,148790,5.7,42,57.31,78.6,82.4,97.2,87350,119200,163490,171390,202170,0.021,0.47
Petroleum Engineers,17-2171,280,45,70.1,145810,21.1,46.93,46.93,46.93,97.75,,97600,97600,97610,203320,,0.115,0.94
Ship Engineers,53-5031,130,12.9,67.4,140190,4.5,42.26,46.18,69.04,80.26,96.32,87900,96060,143600,166940,200350,0.054,0.96
Software Developers,15-1252,76900,2,90.31,187840,1.4,61.61,76.95,84.09,102.61,,128140,160060,174910,213420,,31.964,2.98
